Project,URL,SHA,Polluter,Victim,#Cleaners
aud,https://github.com/zdhoward/aud,2dfc81dad3da78537e1b1c6f5cc5630ba5b837f9,aud/test_aud.py::test_afx_2,aud/test_aud.py::test_export,1
autoclasswrapper,https://github.com/pierrepo/autoclasswrapper,af43dd833e5586386098d1793a59332e968069da,tests/test_output.py::TestOutputClass::test_write_cluster_stats,tests/test_output.py::TestOutputClass::test_write_dendrogram_no_stats,0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_should_change_separators,tests/test_autodoc.py::TestAutodoc::test_parse_response,0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_should_change_separators,tests/test_autodoc.py::TestAutodoc::test_parse_responses,0
base10,https://github.com/mattdavis90/base10,93577e85215e4cd7f02a504ff6a23501d56a1748,base10/test/test_helpers.py::TestMetricHelper::test_metric_helper_kwargs,base10/test/test_helpers.py::TestMetricHelper::test_metric_helper_fields_exception,0
base10,https://github.com/mattdavis90/base10,93577e85215e4cd7f02a504ff6a23501d56a1748,base10/test/test_helpers.py::TestMetricHelper::test_metric_helper_kwargs,base10/test/test_helpers.py::TestMetricHelper::test_metric_helper_handles_time_field,0
base10,https://github.com/mattdavis90/base10,93577e85215e4cd7f02a504ff6a23501d56a1748,base10/test/test_helpers.py::TestMetricHelper::test_metric_helper_kwargs,base10/test/test_helpers.py::TestMetricHelper::test_metric_helper_metadata_exception,0
base10,https://github.com/mattdavis90/base10,93577e85215e4cd7f02a504ff6a23501d56a1748,base10/test/test_helpers.py::TestMetricHelper::test_metric_helper_kwargs,base10/test/test_helpers.py::TestMetricHelper::test_metric_helper_name_exception,0
basic_auth,https://github.com/rorymurdock/basic_auth,622f2133c13988cec549f4ea55bed14e50f90876,tests/test_basic.py::test_check_file_exists,tests/test_basic.py::test_read_config,0
bottle-neck,https://github.com/agile4you/bottle-neck.git,ebc670a4b178255473d68e9b4122ba04e38f4810,test/test_routing.py::test_router_register_handler_cbv_pass,test/test_routing.py::test_router_register_handler_fn_pass,0
carbonize,https://github.com/eillarra/carbonize,efc89b8a9e44f9d64110406ce70929a9671517c7,tests/test_api.py::TestFootprint::test_flight_two_way,tests/test_api.py::TestFootprint::test_flight,0
cherry,https://github.com/Windsooon/cherry,bc6ae1f0284d837fb95279098538530312313534,tests/test_classify.py::ClassifyTest::test_load_cache,tests/test_classify.py::ClassifyTest::test_init,0
clashogram,https://github.com/mehdisadeghi/clashogram,5b8cc18adfc92ad381040ee25b750df462122939,test_everything.py::MessageFactoryTestCase::test_format_time_fa,test_everything.py::MessageFactoryTestCase::test_format_time_default,0
cloudnetpy,https://github.com/tukiains/cloudnetpy,26f2607b890630146469cfa410fce99438ceee3f,tests/unit/test_classify.py::TestFindRain::test_4,tests/unit/test_classify.py::TestFindRain::test_1,0
cloudnetpy,https://github.com/tukiains/cloudnetpy,26f2607b890630146469cfa410fce99438ceee3f,tests/unit/test_classify.py::TestFindRain::test_3,tests/unit/test_classify.py::TestFindRain::test_1,0
cloudnetpy,https://github.com/tukiains/cloudnetpy,26f2607b890630146469cfa410fce99438ceee3f,tests/unit/test_classify.py::TestFindRain::test_2,tests/unit/test_classify.py::TestFindRain::test_1,0
cloudnetpy,https://github.com/tukiains/cloudnetpy,26f2607b890630146469cfa410fce99438ceee3f,tests/unit/test_drizzle.py::test_find_retrieval_below_melting[2],tests/unit/test_drizzle.py::test_append_data[Do],0
cloudnetpy,https://github.com/tukiains/cloudnetpy,26f2607b890630146469cfa410fce99438ceee3f,tests/unit/test_drizzle.py::test_get_retrieval_status[1],tests/unit/test_drizzle.py::test_append_data[Do],0
cloudnetpy,https://github.com/tukiains/cloudnetpy,26f2607b890630146469cfa410fce99438ceee3f,tests/unit/test_drizzle.py::test_find_retrieval_below_melting[0],tests/unit/test_drizzle.py::test_append_data[Do],0
cloudnetpy,https://github.com/tukiains/cloudnetpy,26f2607b890630146469cfa410fce99438ceee3f,tests/unit/test_drizzle.py::test_get_retrieval_status[5],tests/unit/test_drizzle.py::test_append_data[Do],0
cloudnetpy,https://github.com/tukiains/cloudnetpy,26f2607b890630146469cfa410fce99438ceee3f,tests/unit/test_drizzle.py::test_get_retrieval_status[2],tests/unit/test_drizzle.py::test_append_data[Do],0
cloudnetpy,https://github.com/tukiains/cloudnetpy,26f2607b890630146469cfa410fce99438ceee3f,tests/unit/test_drizzle.py::test_get_retrieval_status[3],tests/unit/test_drizzle.py::test_append_data[Do],0
