Project,URL,SHA,Polluter,Cleaner,Victim
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_read_fort1.py::test_read_fort1_file_contents,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_read_fort7.py::test_read_fort7_file,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_read_fort7.py::test_read_fort7_array_length,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_read_fort7.py::test_read_fort7_values,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_read_xyz.py::test_read_xyz_file,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_read_xyz.py::test_read_xyz_types,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_read_xyz.py::test_read_xyz_positions,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_read_xyz.py::test_read_xyz_time_array,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_read_xyz.py::test_read_xyz_parse_comment_line,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_read_xyz.py::test_are_floats,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_read_xyz.py::test_read_xyz_velocities,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort1.py::test_replace_in_fort1_file,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort1.py::test_replace_in_fort1_int,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort1.py::test_replace_in_fort1_float,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort1.py::test_replace_in_fort1_str,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort3.py::test_replace_in_fort3_fort3_parse_property_name,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort3.py::test_replace_in_fort3_properties_replace_new,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort3.py::test_replace_in_fort3_fort3_properties_index,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort3.py::test_replace_in_fort3_file,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort3.py::test_replace_in_fort3_count_property,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort3.py::test_replace_in_fort3_is_int,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort3.py::test_replace_in_fort3__count_existing_instances,test/test_occam_data.py::test_occam_data_not_save_to_npy
